step,VirusA_same,VirusB_same,,VirusA_30,VirusB_30,,VirusA_60,VirusB_60,,VirusA_60,VirusB_60
122,6943,7113,,4180,9752,,5603,5269,,7887,1650
123,7040,7060,,4203,9972,,5545,5482,,7975,1716
124,7185,7213,,3945,10094,,5416,5707,,7894,1752
125,7252,7193,,3902,10168,,5477,5794,,7965,1716
126,7432,7351,,3916,10294,,5511,5876,,8086,1791
127,7582,7530,,3863,10502,,5404,6050,,7921,1922
128,7837,7649,,3814,10603,,5408,6002,,7972,1896
129,8001,7620,,3760,10818,,5578,6012,,8140,1956
130,8122,7641,,3616,11132,,5619,6272,,7997,2115
131,8191,7689,,3657,11195,,5487,6432,,7952,2161
132,8346,7929,,3549,11244,,5598,6711,,7838,2338
133,8646,7850,,3812,11607,,5561,6858,,8019,2424
134,8634,7939,,3609,11661,,5585,6987,,8105,2561
135,8696,7975,,3585,12159,,5566,6954,,8097,2625
136,8670,7980,,3628,12272,,5638,6933,,8304,2708
137,8707,8071,,3574,12053,,5611,7245,,8458,2805
138,8815,8144,,3531,11821,,5506,7329,,8541,2807
139,8893,8311,,3478,12324,,5220,7545,,8734,2797
140,9082,8613,,3518,12041,,5145,7686,,8809,2882
141,9201,8513,,3638,12417,,5056,7880,,8874,2983
142,8959,8674,,3482,12386,,5051,8190,,8906,3217
143,9182,8692,,3435,12563,,4930,8248,,8698,3280
144,9258,8647,,3538,12600,,4853,8322,,8512,3340
145,9434,8613,,3605,12927,,4853,8516,,8519,3637
146,9596,8527,,3619,13148,,4819,8802,,8495,3669
147,9763,8733,,3783,13219,,4891,8819,,8582,3780
148,9740,8810,,3818,13444,,4922,8879,,8471,4012
149,9725,9028,,3772,13665,,5004,8968,,8210,4235
150,9714,9219,,3820,13806,,5156,9203,,8175,4181
151,9768,9197,,3891,13965,,5303,9360,,8164,4284
152,9765,9271,,3936,14114,,5438,9554,,7913,4203
153,10078,9296,,4001,14136,,5440,9640,,7967,4348
154,10095,9458,,3923,14347,,5616,9834,,7902,4268
155,10211,9422,,3926,14826,,5587,9892,,7672,4256
